[15, 'true', True, False]
[1, True, True, True]
[21, True, True, True]
[22, False, True, False]
[23, 'true', True, False]
[24, 'true', True, False]
[25, False, True, False]
[26, 'true', True, False]
[27, True, True, True]
[31, 'false', True, False]
[35, False, True, False]
[78, False, True, False]
[85, False, True, False]
[9, True, False, False]
[118, False, True, False]
[132, True, True, True]
[138, 'true', True, False]
[147, True, True, True]
[149, True, True, True]
[150, False, True, False]
[151, False, True, False]
[152, True, True, True]
[153, True, True, True]
[314, True, True, True]
[315, True, True, True]
[316, True, True, True]
[317, 'true', True, False]
[359, True, True, True]
[360, True, True, True]
[361, 'true', True, False]
[362, True, True, True]
[479, True, True, True]
[480, True, True, True]
[481, True, True, True]
[482, True, True, True]
[483, True, True, True]
[485, 'true', True, False]
[630, True, True, True]
[631, True, True, True]
[632, 'true', True, False]
[633, True, True, True]
[634, True, True, True]
[635, True, True, True]
[636, 'true', True, False]
[637, True, True, True]
[638, True, True, True]
[639, True, True, True]
[640, True, True, True]
[641, False, True, False]
[642, True, True, True]
[643, True, True, True]
[644, 'false', True, False]
[649, 'true', True, False]
[654, True, True, True]
[663, False, True, False]
[666, True, True, True]
[669, 'true', True, False]
[683, True, True, True]
[693, True, True, True]
[701, True, True, True]
[703, 'false', True, False]
[708, True, True, True]
[747, 'true', True, False]
[748, True, True, True]
[763, 'true', True, False]
[783, True, True, True]
[808, True, True, True]
[810, True, True, True]
[819, True, True, True]
[831, True, True, True]
[835, True, True, True]
[837, True, True, True]
[864, True, True, True]
[869, True, True, True]
[871, True, True, True]
[875, True, True, True]
[880, False, False, True]
[883, False, True, False]
[890, True, False, False]
[903, 'true', True, False]
[914, True, True, True]
[916, True, True, True]
[919, 'true', True, False]
[924, True, True, True]
[931, True, True, True]
[933, 'true', True, False]
[934, True, True, True]
[953, 'true', True, False]
[1125, 'true', True, False]
[1127, 'false', True, False]
[1130, True, True, True]
[1131, True, True, True]
[1133, False, True, False]
[1134, True, True, True]
[1136, True, True, True]
[1139, False, True, False]
[1140, False, True, False]
[1148, 'true', True, False]
[1154, 'false', True, False]
[1160, True, True, True]
[1163, True, True, True]
[1164, True, True, True]
[1166, 'true', True, False]
[1178, True, True, True]
[1181, True, True, True]
[1182, True, True, True]
[1184, True, True, True]
[1187, True, True, True]
[1188, True, True, True]
[1190, True, True, True]
[1193, True, True, True]
[1194, 'true', True, False]
[1195, True, True, True]
[1197, True, True, True]
[1198, True, True, True]
[1200, 'true', True, False]
[1201, True, True, True]
[1203, True, True, True]
[1205, 'true', True, False]
[1208, True, True, True]
[1209, False, False, True]
[1211, True, True, True]
[1212, True, True, True]
[1214, 'true', True, False]
[1217, True, True, True]
[1218, True, True, True]
[1304, 'false', True, False]
[1416, True, True, True]
[1423, False, True, False]
[1478, True, True, True]
[1479, True, True, True]
[1481, 'true', True, False]
[1482, 'false', True, False]
[1518, False, True, False]
[1519, True, True, True]
[1522, True, True, True]
[1523, True, True, True]
[1530, True, False, False]
[1565, True, True, True]
[1863, 'true', True, False]
[1867, True, True, True]
[1869, True, True, True]
[1874, True, True, True]
[1879, True, False, False]
[1917, True, True, True]
[1923, True, True, True]
[1934, True, True, True]
[1937, 'false', True, False]
[1972, True, True, True]
[1974, False, True, False]
[1975, True, True, True]
[1977, True, True, True]
[1978, True, True, True]
[1980, True, True, True]
[1982, True, True, True]
[1985, True, True, True]
[1988, 'true', True, False]
[1989, True, True, True]
[1991, False, True, False]
[1994, True, True, True]
[1998, True, True, True]
[2001, True, True, True]
[2003, 'true', True, False]
[2004, True, True, True]
[2113, 'true', True, False]
[2114, 'true', False, False]
[2137, True, True, True]
[2148, True, False, False]
[2164, True, True, True]
[2165, 'true', True, False]
[2166, True, True, True]
[2167, True, True, True]
[2168, True, True, True]
[2169, True, True, True]
[2173, False, True, False]
[2174, 'true', True, False]
[2175, True, True, True]
[2176, 'true', True, False]
[2177, 'true', True, False]
[2178, True, True, True]
[2180, 'true', True, False]
[2181, True, True, True]
[2223, True, True, True]
[2224, True, True, True]
[2226, True, True, True]
[2227, True, True, True]
[2230, True, True, True]
[2231, True, True, True]
[2232, True, True, True]
[2233, True, True, True]
[2234, True, True, True]
[2235, True, True, True]
[2236, True, True, True]
[2244, True, True, True]
[2245, 'true', True, False]
[2247, True, True, True]
[2248, True, True, True]
[2251, True, True, True]
[2252, True, True, True]
[2253, True, True, True]
[2254, True, True, True]
[2255, True, True, True]
[2256, True, True, True]
[2257, True, True, True]
[2259, True, True, True]
[2262, 'true', True, False]
[2394, True, True, True]
[2398, True, True, True]
[2402, True, True, True]
[2405, True, True, True]
[2426, True, True, True]
[2427, True, True, True]
[2429, True, True, True]
[2430, False, True, False]
